n;ratio
263;0.6118203241
264;0.6094897842
265;0.6108223567
266;0.6092910849
267;0.6096733016
268;0.6088076409
269;0.6116969086
270;0.6091495199
271;0.6120150869
272;0.6109834559
273;0.6103798521
274;0.6095556503
275;0.6104198347
276;0.6083149548
277;0.6111248680
278;0.6103074375
279;0.6105651263
280;0.6086607143
281;0.6114284267
282;0.6094135104
283;0.6121564759
284;0.6113246380
285;0.6105878732
286;0.6092596215
287;0.6108487416
288;0.6089289159
289;0.6112354977
290;0.6096908442
291;0.6100423944
292;0.6092489210
293;0.6118999639
294;0.6096880929
295;0.6108934214
296;0.6100598064
297;0.6100397919
298;0.6092856178
299;0.6111229181
300;0.6088333333
301;0.6103575016
302;0.6096114206
303;0.6099510941
304;0.6090612015
305;0.6102338081
306;0.6083023623
307;0.6108393723
308;0.6094092596
309;0.6097443470
310;0.6083142560
311;0.6108187467
312;0.6088819034
313;0.6113668609
314;0.6106434338
315;0.6096749811
316;0.6089468835
317;0.6114002528
318;0.6096178949
319;0.6113049204
320;0.6099902344
321;0.6103104589
322;0.6090717951
323;0.6108272868
324;0.6091201799
325;0.6099218935
326;0.6092344462
327;0.6095540031
328;0.6088172963
329;0.6102216351
330;0.6079981635
331;0.6103540493
332;0.6096585136
333;0.6098981865
334;0.6092276525
335;0.6103007351
336;0.6083740788
337;0.6106860147
338;0.6098088302
339;0.6101147745
340;0.6087456747
341;0.6103404683
342;0.6086231661
343;0.6100774337
344;0.6093750000
345;0.6088048729
346;0.6081643222
347;0.6104111819
348;0.6087577619
349;0.6109884155
350;0.6094612245
351;0.6094999229
352;0.6086244189
353;0.6108306784
354;0.6092358518
355;0.6102519341
356;0.6096057947
357;0.6092083892
358;0.6085874348
359;0.6107572101
360;0.6088503086
361;0.6107304272
362;0.6101080553
363;0.6100903854
364;0.6089164956
365;0.6099080503
366;0.6083714055
367;0.6104952891
368;0.6097811319
369;0.6100058020
370;0.6088166545
371;0.6100725801
372;0.6085313331
373;0.6106203595
374;0.6096471160
375;0.6092444444
376;0.6086110797
377;0.6101147549
378;0.6084026203
379;0.6104594092
380;0.6092451524
381;0.6095232190
382;0.6089402703
383;0.6109728746
384;0.6095309787
385;0.6096070164
386;0.6090297726
387;0.6092515808
388;0.6086659050
389;0.6106687109
390;0.6088034188
391;0.6102982058
392;0.6093750000
393;0.6096446076
394;0.6090790796
395;0.6099983977
396;0.6084519437
397;0.6104156489
398;0.6098520239
399;0.6095125031
400;0.6084687500
401;0.6104128706
